# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     0.000521865        0.022624      0.00612387       0.0226212      0.00612347       0.0226226       0.0061238
     0.000551115       0.0238344       0.0064514       0.0238312      0.00645096       0.0238327      0.00645133
     0.000582006       0.0251079        0.006796       0.0251042      0.00679549        0.025106      0.00679592
     0.000614628       0.0264476      0.00715848       0.0264434      0.00715791       0.0264454      0.00715839
     0.000649078       0.0278566       0.0075397       0.0278518      0.00753906        0.027854       0.0075396
     0.000685459       0.0293382      0.00794054       0.0293327      0.00793983       0.0293352      0.00794043
      0.00072388       0.0308958      0.00836192       0.0308896      0.00836113       0.0308923       0.0083618
     0.000764454       0.0325329      0.00880479       0.0325259      0.00880391       0.0325288      0.00880465
     0.000807302       0.0342531      0.00927012       0.0342452      0.00926914       0.0342484      0.00926996
     0.000852552       0.0360601      0.00975891       0.0360513      0.00975784       0.0360546      0.00975874
     0.000900339       0.0379578       0.0102722        0.037948        0.010271       0.0379515        0.010272
     0.000950803       0.0399501       0.0108111       0.0399392       0.0108098       0.0399427       0.0108109
       0.0010041       0.0420409       0.0113765       0.0420288       0.0113751       0.0420324       0.0113763
      0.00106038       0.0442343       0.0119698        0.044221       0.0119682       0.0442246       0.0119695
      0.00111981       0.0465344       0.0125918       0.0465199       0.0125902       0.0465232       0.0125916
      0.00118258       0.0489455       0.0132438       0.0489296       0.0132421       0.0489326       0.0132436
      0.00124886       0.0514715        0.013927       0.0514544       0.0139251       0.0514568       0.0139267
      0.00131886       0.0541169       0.0146423       0.0540984       0.0146403          0.0541        0.014642
      0.00139279       0.0568856        0.015391       0.0568657       0.0153889       0.0568662       0.0153906
      0.00147085       0.0597817       0.0161741       0.0597606       0.0161719       0.0597597       0.0161737
      0.00155329       0.0628094       0.0169927        0.062787       0.0169904       0.0627843       0.0169923
      0.00164036       0.0659725       0.0178479       0.0659488       0.0178455       0.0659439       0.0178475
       0.0017323       0.0692748       0.0187406       0.0692498       0.0187381       0.0692422       0.0187402
       0.0018294       0.0727197       0.0196719       0.0726934       0.0196692       0.0726827       0.0196715
      0.00193194       0.0763107       0.0206425        0.076283       0.0206398       0.0762687       0.0206421
      0.00204022       0.0800506       0.0216534       0.0800216       0.0216505       0.0800031       0.0216529
      0.00215458       0.0839422       0.0227051       0.0839116       0.0227021       0.0838884       0.0227046
      0.00227535       0.0879878       0.0237983       0.0879554       0.0237952        0.087927       0.0237979
      0.00240288       0.0921891       0.0249336       0.0921547       0.0249303       0.0921206       0.0249331
      0.00253756       0.0965473       0.0261111       0.0965106       0.0261077       0.0964703       0.0261106
       0.0026798        0.101063       0.0273312        0.101024       0.0273276        0.100977       0.0273306
         0.00283        0.105737       0.0285937        0.105695       0.0285899         0.10564       0.0285931
      0.00298863        0.110568       0.0298985        0.110522       0.0298946        0.110459       0.0298979
      0.00315614        0.115554       0.0312452        0.115504        0.031241        0.115433       0.0312445
      0.00333304        0.120693       0.0326331        0.120639       0.0326287        0.120559       0.0326324
      0.00351986        0.125982       0.0340612        0.125924       0.0340567        0.125833       0.0340605
      0.00371716        0.131417       0.0355284        0.131353       0.0355237        0.131251       0.0355277
      0.00392551         0.13699       0.0370331        0.136922       0.0370281        0.136806       0.0370323
      0.00414553        0.142696       0.0385733        0.142622       0.0385681        0.142493       0.0385724
      0.00437789        0.148526       0.0401466        0.148445       0.0401412        0.148302       0.0401458
      0.00462328         0.15447       0.0417505        0.154381       0.0417448        0.154223       0.0417496
      0.00488242        0.160515       0.0433816        0.160419       0.0433758        0.160244       0.0433807
      0.00515608         0.16665       0.0450365        0.166543       0.0450303        0.166352       0.0450355
      0.00544508        0.172857       0.0467106         0.17274       0.0467041        0.172531       0.0467095
      0.00575028         0.17912       0.0483993         0.17899       0.0483926        0.178763       0.0483983
      0.00607259        0.185422       0.0500981        0.185279       0.0500911        0.185032        0.050097
      0.00641296         0.19174       0.0518007        0.191582       0.0517934        0.191313       0.0517995
      0.00677242        0.198044        0.053499        0.197869       0.0534915        0.197578       0.0534978
      0.00715202        0.204305       0.0551854         0.20411       0.0551775        0.203799       0.0551841
      0.00755289        0.210494       0.0568519        0.210278       0.0568437        0.209945       0.0568506
      0.00797624        0.216582       0.0584903         0.21634       0.0584819        0.215987        0.058489
      0.00842331        0.222534       0.0600918        0.222265        0.060083        0.221891       0.0600904
      0.00889544        0.228312       0.0616457        0.228011       0.0616366        0.227619       0.0616443
      0.00939404        0.233873       0.0631408        0.233538       0.0631313        0.233129       0.0631393
      0.00992058        0.239174       0.0645648        0.238798       0.0645549        0.238376       0.0645632
       0.0104766        0.244165       0.0659047        0.243745       0.0658945        0.243311       0.0659031
       0.0110639        0.248796       0.0671469        0.248327       0.0671363        0.247884       0.0671452
        0.011684        0.253015       0.0682773        0.252491       0.0682663        0.252044       0.0682755
       0.0123389        0.256767       0.0692811        0.256183       0.0692697        0.255736       0.0692793
       0.0130305        0.259995       0.0701429        0.259343       0.0701311        0.258903        0.070141
       0.0137609         0.26264       0.0708469        0.261913       0.0708347        0.261487        0.070845
       0.0145322        0.264643       0.0713772        0.263835       0.0713647         0.26343       0.0713752
       0.0153467        0.265946       0.0717184         0.26505       0.0717054        0.264673       0.0717163
       0.0162069        0.266493       0.0718551        0.265501       0.0718417        0.265162        0.071853
       0.0171153         0.26623       0.0717733        0.265136       0.0717594        0.264844       0.0717711
       0.0180747        0.265112       0.0714602        0.263908        0.071446        0.263672        0.071458
       0.0190878        0.263098       0.0709055        0.261779       0.0708909        0.261609       0.0709032
       0.0201576        0.260158       0.0701013        0.258721       0.0700862        0.258625       0.0700989
       0.0212875        0.256279       0.0690435        0.254719       0.0690281        0.254706        0.069041
       0.0224807        0.251458       0.0677321        0.249774       0.0677164        0.249853       0.0677296
       0.0237407        0.245716       0.0661728         0.24391       0.0661569        0.244085       0.0661703
       0.0250714        0.239093       0.0643767         0.23717       0.0643605        0.237444       0.0643742
       0.0264767        0.231657       0.0623621        0.229624       0.0623458        0.229999       0.0623595
       0.0279607        0.223499       0.0601537        0.221367       0.0601373         0.22184       0.0601511
        0.029528        0.214738       0.0577838        0.212523       0.0577674        0.213086       0.0577812
        0.031183        0.205517       0.0552915        0.203238       0.0552752        0.203882       0.0552889
       0.0329309        0.196003       0.0527217        0.193684       0.0527057        0.194394       0.0527192
       0.0347767        0.186379       0.0501238        0.184046       0.0501082        0.184804       0.0501213
       0.0367259        0.176831       0.0475482        0.174513       0.0475331        0.175297       0.0475458
       0.0387844        0.167567       0.0450507        0.165295       0.0450363         0.16608       0.0450485
       0.0409583        0.158768       0.0426803        0.156573       0.0426666        0.157332       0.0426781
       0.0432541        0.150543       0.0404664        0.148457       0.0404536        0.149163       0.0404644
       0.0456785        0.143006       0.0384394        0.141057       0.0384275        0.141684       0.0384375
       0.0482388        0.136332       0.0366462        0.134543       0.0366353        0.135067       0.0366445
       0.0509426         0.13052        0.035086        0.128909       0.0350762        0.129311       0.0350845
        0.053798        0.125374       0.0337062        0.123953       0.0336975        0.124219       0.0337048
       0.0568134        0.120713       0.0324572        0.119483       0.0324494        0.119611        0.032456
       0.0599979        0.116349        0.031288        0.115299       0.0312811        0.115297       0.0312869
       0.0633608        0.112051       0.0301356        0.111157       0.0301295        0.111046       0.0301347
       0.0669122        0.107495       0.0289124        0.106721       0.0289069        0.106534       0.0289116
       0.0706627        0.102315       0.0275195        0.101615       0.0275144        0.101398       0.0275187
       0.0746234       0.0962599       0.0258894       0.0955873       0.0258843       0.0953874       0.0258886
       0.0788061       0.0893304       0.0240221        0.088643        0.024017       0.0885039       0.0240213
       0.0832233       0.0818038       0.0219932       0.0810756        0.021988       0.0810256       0.0219924
        0.087888       0.0741433       0.0199282       0.0733702        0.019923       0.0734152       0.0199274
       0.0928142        0.066852       0.0179636       0.0660532       0.0179585       0.0661752       0.0179628
       0.0980165       0.0604193       0.0162318       0.0596312       0.0162269       0.0597936        0.016231
         0.10351        0.055241       0.0148396       0.0545063       0.0148351       0.0546635       0.0148389
        0.109312       0.0514455       0.0138213       0.0508015       0.0138174       0.0509113       0.0138207
        0.115439       0.0487385        0.013097       0.0482067       0.0130937       0.0482423       0.0130965
         0.12191       0.0464787        0.012493       0.0460558       0.0124903       0.0460166       0.0124926
        0.128743       0.0439492       0.0118152       0.0436046       0.0118128        0.043519       0.0118148
        0.135959       0.0406795       0.0109362       0.0403656        0.010934       0.0402804       0.0109358
         0.14358       0.0366797      0.00985901       0.0363559      0.00985678       0.0363121      0.00985866
        0.151627       0.0324318      0.00871459       0.0320865      0.00871234       0.0320962      0.00871424
        0.160126       0.0287027      0.00771073       0.0283562      0.00770857       0.0283984      0.00771039
        0.169101       0.0260499      0.00699798       0.0257359      0.00699604       0.0257729      0.00699767
         0.17858       0.0243124      0.00653262       0.0240545      0.00653098       0.0240587      0.00653236
        0.188589       0.0228651      0.00614523       0.0226599      0.00614386       0.0226318      0.00614501
         0.19916       0.0210325      0.00565297        0.020852      0.00565174       0.0208186      0.00565278
        0.210323       0.0187117      0.00502828       0.0185302      0.00502708       0.0185178      0.00502809
        0.222112       0.0164706      0.00442506       0.0162883       0.0044239        0.016296      0.00442488
        0.234561       0.0148274      0.00398352       0.0146629      0.00398249       0.0146698      0.00398336
        0.247708       0.0137045      0.00368253        0.013569      0.00368165       0.0135613      0.00368239
        0.261593       0.0125627      0.00337601       0.0124465      0.00337524       0.0124324      0.00337589
        0.276255       0.0111841      0.00300518       0.0110727      0.00300445       0.0110667      0.00300506
        0.291739      0.00990412      0.00266094      0.00979842      0.00266026       0.0097989      0.00266083
        0.308092      0.00897336      0.00241104      0.00888183      0.00241045      0.00887858      0.00241094
         0.32536      0.00815775      0.00219206      0.00807888      0.00219154      0.00807217      0.00219198
        0.343597      0.00726545      0.00195216      0.00719224      0.00195168      0.00718868      0.00195208
        0.362856      0.00647068      0.00173854      0.00640391      0.00173811      0.00640199      0.00173847
        0.383194      0.00583568      0.00156801      0.00577766      0.00156764      0.00577403      0.00156795
        0.404673      0.00521794      0.00140201      0.00516577      0.00140167      0.00516272      0.00140196
        0.427355      0.00464261      0.00124739      0.00459538      0.00124708      0.00459332      0.00124734
        0.451309      0.00415789      0.00111718      0.00411631      0.00111691      0.00411383      0.00111714
        0.476605       0.0037044     0.000995319      0.00366713     0.000995077      0.00366509     0.000995281
        0.503319      0.00329828     0.000886196      0.00326504      0.00088598      0.00326325     0.000886162
         0.53153      0.00293909     0.000789692      0.00290961     0.000789501      0.00290788     0.000789662
        0.561323      0.00261177     0.000701738      0.00258547     0.000701568        0.002584     0.000701711
        0.592786      0.00232216     0.000623926      0.00229884     0.000623775      0.00229747     0.000623902
        0.626012      0.00206109      0.00055378      0.00204036     0.000553645      0.00203917     0.000553758
          0.6611      0.00182898     0.000491416      0.00181061     0.000491297      0.00180952     0.000491397
        0.698155      0.00162117      0.00043558      0.00160488     0.000435475      0.00160392     0.000435564
        0.737288      0.00143618     0.000385875      0.00142175     0.000385781      0.00142089      0.00038586
        0.778613      0.00127125     0.000341561      0.00125848     0.000341478      0.00125771     0.000341548
        0.822255      0.00112446     0.000302122      0.00111317     0.000302049      0.00111248      0.00030211
